method;variation;dataset;target;horizon;tau;coverage;mean_IS;WIS_58;WIS_all;frequency;best WIS_58;best WIS_all;best cov_0.5;best cov_0.8;abs_cov_dev;cov_group_norm;WIS_all_group_norm
ald_quantiles_prediction;;AR(1);cpi;0;0.1;0.047619;0.233552;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.052381;0.571430286;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0;0.2;0.119048;0.259344;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.080952;0.485290757;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0;0.3;0.178571;0.289805;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.121429;0.484537913;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0;0.4;0.22619;0.32604;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.17381;0.538462284;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0;0.5;0.309524;0.371055;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.190476;0.451775897;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0;0.6;0.416667;0.432522;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.183333;0.388887722;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0;0.7;0.47619;0.521596;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.22381;0.421054377;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0;0.8;0.547619;0.663947;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.252381;0.365852959;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0;0.9;0.702381;0.983757;0.06366;0.08223;annually;0.06097;0.08062;0.486111;0.72619;0.197619;0.235293827;0.005382455
ald_quantiles_prediction;;AR(1);cpi;0.5;0.1;0.071429;0.912406;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.028571;0.277772593;0.253386191
ald_quantiles_prediction;;AR(1);cpi;0.5;0.2;0.107143;1.003125;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.092857;1;0.253386191
ald_quantiles_prediction;;AR(1);cpi;0.5;0.3;0.154762;1.098655;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.145238;1;0.253386191
ald_quantiles_prediction;;AR(1);cpi;0.5;0.4;0.22619;1.200676;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.17381;1;0.253386191
ald_quantiles_prediction;;AR(1);cpi;0.5;0.5;0.345238;1.319351;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.154762;1;0.253386191
ald_quantiles_prediction;;AR(1);cpi;0.5;0.6;0.416667;1.469613;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.183333;1;0.253386191
ald_quantiles_prediction;;AR(1);cpi;0.5;0.7;0.642857;1.674748;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.057143;0.277108982;0.253386191
ald_quantiles_prediction;;AR(1);cpi;0.5;0.8;0.714286;2.01386;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.085714;0.368420355;0.253386191
ald_quantiles_prediction;;AR(1);cpi;0.5;0.9;0.809524;2.677662;0.21249;0.29124;annually;0.19107;0.26056;0.5;0.797619;0.090476;0.368420355;0.253386191
ald_quantiles_prediction;;AR(1);cpi;1;0.1;0.071429;1.781299;0.49013;0.6309;annually;0.43095;0.56932;0.439024;0.75;0.028571;0.39998992;0.227400295
ald_quantiles_prediction;;AR(1);cpi;1;0.2;0.190476;1.985002;0.49013;0.6309;annually;0.43095;0.56932;0.439024;0.75;0.009524;0.051725262;0.227400295
ald_quantiles_prediction;;AR(1);cpi;1;0.3;0.261905;2.231417;0.49013;0.6309;annually;0.43095;0.56932;0.439024;0.75;0.038095;0.14633934;0.227400295
ald_quantiles_prediction;;AR(1);cpi;1;0.4;0.285714;2.526433;0.49013;0.6309;annually;0.43095;0.56932;0.439024;0.75;0.114286;0.363637058;0.227400295
ald_quantiles_prediction;;AR(1);cpi;1;0.5;0.380952;2.89311;0.49013;0.6309;annually;0.43095;0.56932;0.439024;0.75;0.119048;0.204290408;0.227400295
ald_quantiles_prediction;;AR(1);cpi;1;0.6;0.428571;3.361806;0.49013;0.6309;annually;0.43095;0.56932;0.439024;0.75;0.171429;0.296298716;0.227400295
